Word,Orthography w/ tones,IPA,English,Spanish,Tone Melody,Syllable Structure,Phonation Type,Part of Speech,Semantic Domain,Speaker,Sound File,Notes,Checked?,Need
anima,ánìmà,[ánìmà],heart,corazón,HLL,VCVCV,modal,noun,body parts and the body,,,,,
antsivi,antsiví,[aⁿt͡siβí],"sky, heaven",cielo,MMH,VCVCV,modal,noun,landscape and environment,NGC,cielo.wav,,"Yes, good",
apio,ápīō,[ápīō],celery,apio,HMM,VCVV,modal,noun,"food, drink, and cooking",NGC,apio.wav,,,
asin,àsǐn,[àʰsǐn],tasty,sabroso,LR,VCVC,pre-aspirated,adjective,descriptions,,,,"Yes, good",Check Duplicate
asin,asǐn,,delicious,sabroso,,VCV,,adjective,descriptions,,,,,Check Duplicate
atu,atu,[aʰtu],bitter,amargo,HL,VhCV,pre-aspirated,adjective,descriptions,NGC,amargo.wav,,"Yes, good",Check Duplicate
burru,búrrù,[buru],donkey,burro,HL,CVCV,modal,noun,wild animals,,burro.wav,,"Yes, good",
chi,chi,[tʃi],because,porque,M,CV,modal,subordinator,other,JGO,,,,
chikaa,chikàà,[͡tʃikà],to throw,echar (potencial),LL,CVCVV,modal,verb (potential),Actions and activities,JGO,,,,
chininu,chínìnù,[t͡ʃínĩ̀nũ̀],behind,atrás,HLL,CVCVCV,modal,adverb,descriptions,JGO,,,,
chintsiee,chintsieé,[t͡ʃiⁿt͡sʲe],to help (potential),ayudar (potencial),MMH,CVCV,modal,verb (potential),Actions and activities,JGO,,,,
fresa,fresà,[frēsà],strawberry,fresa,ML,CCVCV,modal,noun,"food, drink, and cooking",NGC,fresa.wav,loan word,,
i'i,í'i,[íˀi],raw,crudo,HM,V?V,glottalized,adjective,"food, drink, and cooking",NGC,crudo.wav,,"Yes, good",
i'in,í'in,[íˀin],mute,mudo,HM,V?V,glottalized,adjective,descriptions,NGC,NGC_Mudo.wav,,"Yes, good",
i’in,í’ìn,[ĩ́ˀĩ̀] ,temazcal (a type of sweat lodge),temazcal,HL,V?V,glottalized,noun,directions and locations,,temazcal.wav,,,
i'ma,ì'mà,[ìˀmà],smoke,humo,LL,V?CV,glottalized,noun,weather,NGC,humo.wav,,"Yes, good",
i'na,í'na,[íˀna],ghost,fantasma,HM,V?CV,glottalized,noun,other,RDC,RDC_Fantasma.wav,,,
i'ni,í'ní,[íˀní],hot,caloroso,HH,VCV,glottalized,adjective,weather,,coloroso.wav,,,
i'ñu,i'ñǔ,[iˀɲǔ],two days from now,en dos días a partir de ahora,MR,V?CV,glottalized,noun,times and seasons,RDC,RDC_PasadoPasadoManana.wav,,,"Check Duplicate, Tones"
i'ñu,ì'ñǔ,,the day after the day after tomorrow,pasado pasado mañana,,V?CV,glottalized,adverb,times and seasons,RDC,RDC_PasadoPasadoManana.wav,Said,,"Check Duplicate, Tones"
i'tsia,,[iˀ͡tsʲa],grass,zacate,,V?CV,glottalized,noun,plants and trees,NGC,https://youtu.be/WetShLb64Mg?si=DDcG1KxhhyrIYZBF&t=411 6:51-6:53,,,Tones
i'vi,ì'vì,[ìˀβì],pain,dolor,LL,V?CV,glottalized,noun,body parts and the body,NGC,dolor.wav,,,
i'vi,ǐ'vi,[ǐˀβi],easy,facil,RM,V?CV,glottalized,adjective,descriptions,,fácil1.wav,,,
ichi,íchǐ,[íh͡tʃǐ],road,camino,HR,VCV,modal,noun,landscape and environment,JGO,camino.wav,,,
ii lasoño,[ii lásòño],[ii lásòɲo],the palm rope,el laso de palma,HLM,VCVCVCV,modal,noun,clothing and cloth objects,NGC,lasodepalma.wav,,,
iin,iin,[ĩĩ],one,uno,H,V,modal,noun,numbers,NGC,https://www.youtube.com/watch?v=YLSbF1X3mQM,Can't extract audio from Youtube,"Yes, revise",
iin,íín ,[ĩ́ĩ́],hail,granizo,HH,VV,modal,noun,weather,,granizo.wav,,,
iin,ììn,[ĩ̀ĩ̀],nine,nueve,L,V,modal,noun,numbers,NGC,https://www.youtube.com/watch?v=YLSbF1X3mQM,,,
iin,ìín,[ìĩ́],peel (completive),pelar (completive),LH,VV,modal,verb (completive),Actions and activities,,,,,
iin,íín,[íĩ́],peel (continuative),pelar (continuative),HH,VV,modal,verb (continuative),Actions and activities,,,,,
iin,iín,[iĩ́],peel (potential),pelar (potential),MH,VV,modal,verb (potential),Actions and activities,,,,,
iinka,iinkà,[ĩĩᵑkà],other,otro,MML,VVCV,modal,adjective,people,,otro.wav,,,
ijan,ijân,[iʰã̂],their body,su cuerpo,MF,VhV,aspirated,noun,body parts and the body,LA,LA_SuCuerpo.wav,Said,,
ijen,ijěn,[iʰẽ̌],our bodies,nuestros cuerpos,MR,VhV,aspirated,noun,body parts and the body,LA,LA_NuestrosCuerpos.wav,Said,,
iji,ìjǐ,[ìʰǐ],sacred,sagrado,LF,VhV,aspirated,adjective,descriptions,,,,,
